# 2 1756 2 1756
2 	 chr4 	 2 	 chr4 	 2
1 	 chr4 	 2 	 chr4 	 4
1 	 chr4 	 2 	 chr4 	 54
1 	 chr4 	 2 	 chr4 	 110
1 	 chr4 	 4 	 chr4 	 4
3 	 chr4 	 5 	 chr4 	 6
1 	 chr4 	 5 	 chr4 	 16
1 	 chr4 	 6 	 chr4 	 6
1 	 chr4 	 7 	 chr4 	 9
1 	 chr4 	 9 	 chr4 	 16
2 	 chr4 	 11 	 chr4 	 11
1 	 chr4 	 11 	 chr4 	 13
1 	 chr4 	 11 	 chr4 	 16
1 	 chr4 	 11 	 chr4 	 30
1 	 chr4 	 11 	 chr4 	 40
1 	 chr4 	 11 	 chr4 	 42
1 	 chr4 	 13 	 chr4 	 15
1 	 chr4 	 13 	 chr4 	 18
2 	 chr4 	 14 	 chr4 	 16
3 	 chr4 	 15 	 chr4 	 16
1 	 chr4 	 15 	 chr4 	 22
1 	 chr4 	 16 	 chr4 	 16
2 	 chr4 	 16 	 chr4 	 22
1 	 chr4 	 16 	 chr4 	 94
2 	 chr4 	 17 	 chr4 	 18
1 	 chr4 	 17 	 chr4 	 19
3 	 chr4 	 18 	 chr4 	 22
1 	 chr4 	 18 	 chr4 	 29
1 	 chr4 	 18 	 chr4 	 117
1 	 chr4 	 19 	 chr4 	 106
1 	 chr4 	 20 	 chr4 	 30
1 	 chr4 	 21 	 chr4 	 24
1 	 chr4 	 21 	 chr4 	 27
1 	 chr4 	 21 	 chr4 	 30
1 	 chr4 	 21 	 chr4 	 60
2 	 chr4 	 24 	 chr4 	 24
1 	 chr4 	 24 	 chr4 	 25
1 	 chr4 	 24 	 chr4 	 29
1 	 chr4 	 24 	 chr4 	 55
1 	 chr4 	 24 	 chr4 	 86
1 	 chr4 	 24 	 chr4 	 119
1 	 chr4 	 24 	 chr4 	 121
1 	 chr4 	 27 	 chr4 	 27
3 	 chr4 	 27 	 chr4 	 30
2 	 chr4 	 27 	 chr4 	 31
1 	 chr4 	 28 	 chr4 	 30
1 	 chr4 	 28 	 chr4 	 31
1 	 chr4 	 28 	 chr4 	 43
2 	 chr4 	 29 	 chr4 	 30
4 	 chr4 	 31 	 chr4 	 31
1 	 chr4 	 31 	 chr4 	 32
2 	 chr4 	 31 	 chr4 	 35
1 	 chr4 	 31 	 chr4 	 104
2 	 chr4 	 32 	 chr4 	 35
1 	 chr4 	 33 	 chr4 	 35
1 	 chr4 	 33 	 chr4 	 42
1 	 chr4 	 34 	 chr4 	 67
1 	 chr4 	 35 	 chr4 	 35
2 	 chr4 	 35 	 chr4 	 36
2 	 chr4 	 35 	 chr4 	 37
1 	 chr4 	 35 	 chr4 	 43
1 	 chr4 	 35 	 chr4 	 47
1 	 chr4 	 35 	 chr4 	 51
1 	 chr4 	 35 	 chr4 	 60
1 	 chr4 	 35 	 chr4 	 63
1 	 chr4 	 35 	 chr4 	 73
1 	 chr4 	 36 	 chr4 	 40
2 	 chr4 	 37 	 chr4 	 38
3 	 chr4 	 38 	 chr4 	 38
1 	 chr4 	 38 	 chr4 	 39
1 	 chr4 	 38 	 chr4 	 54
1 	 chr4 	 38 	 chr4 	 81
1 	 chr4 	 38 	 chr4 	 96
1 	 chr4 	 39 	 chr4 	 39
2 	 chr4 	 39 	 chr4 	 40
1 	 chr4 	 40 	 chr4 	 77
1 	 chr4 	 41 	 chr4 	 41
1 	 chr4 	 41 	 chr4 	 42
1 	 chr4 	 41 	 chr4 	 54
1 	 chr4 	 42 	 chr4 	 68
